dur_code,ingr_code,prohibit_content,condition_min,condition_max,condition_unit,notification_date
PWNM_TABOO,D000145,"동물실험에서 기형발생 보고 및 신생아 구토, 신경과민 가능(테오필린).",,,,2013-07-12
PWNM_TABOO,D000159,"혈액량 감소, 혈액점도 증가 및 태반혈류량 감소와 관련.태아와 신생아의 황달, 태아의 골수억제, 혈소판 감소 보고.",,,,2013-07-12
PWNM_TABOO,D000454,"임부에 대한 안전성 미확립.베타차단제는 태반관류를 감소시켜 자궁내 사망, 미숙분만, 조숙분만 야기 가능.분만 또는 수유중 투여시 신생아에서 저혈당증이나 서맥 위험 가능.",,,,2013-07-12
PWNM_TABOO,D000550,신생아에 제8뇌신경장애 가능성.,,,,2008-12-11
PWNM_TABOO,D000254,임부금기,,,,2008-12-11
PWNM_TABOO,D000551,동물실험에서 대량투여에 의해 기형발생 보고.,,,,2013-07-12
PWNM_TABOO,D000740,동물실험에서 고용량 투여시 모체에 대한 독성에 의해 태자미숙 및 저체중의 발생빈도 증가 보고.,,,,2013-07-12
PWNM_TABOO,D000739,"임부에 대한 안전성 미확립.임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,2008-12-11
PWNM_TABOO,D000345,"(주사)임부에 대한 안전성 미확립.동물실험에서 자궁수축 작용 보고.(액제)동물실험에서 500㎍/kg 용량에서 배자독성, 2000㎍/kg 용량에서 흡수증가, 생존태자수 감소, 내장 및 골격변이 증가, 내장 및 골격의 육안적인 기형, 모체독성 보고.",,,,2008-12-11
PWNM_TABOO,D000456,"임신 중기 및 말기에 ACE 저해제 투여시 양수과소증, 태아 및 신생아 사망, 신생아 저혈압, 신부전, 고칼륨혈증, 두개골형성부진, 사지의 구축, 두개안면변형 보고.임신 첫 12주에 ACE 저해제 투여시 주요 선천성기형 발생 위험성 증가 보고.",,,,2008-12-11
PWNM_TABOO,D000249,"동물실험에서 기형발생 보고. 임상에서 임신 제1삼분기에 노출된 후 사지, 눈의 기형과 두개골-위턱얼굴 및 심장 기형 발생  보고.",,,,2013-07-12
PWNM_TABOO,D000658,"임부에 대한 안전성 미확립.동물시험에서 착상후 생존율 감소, 고용량에서 불완전 골화 증가, 분만지연과 분만실패, 모체독성 보고.",,,,2013-07-12
PWNM_TABOO,D000149,임부에 대한 안전성 미확립.,,,,2012-11-21
PWNM_TABOO,D000033,임부에 대한 안전성 미확립.,,,,2013-07-12
PWNM_TABOO,D000741,"최기형성 가능성.동물실험에서 중추신경계기형(뇌탈출/뇌헤르니아), 사지기형(소지증, 내반족(club foot), 합지증, 핍지증) 그리고 기타(소하악증, 위벽파열, 부종 및 늑골기형) 등 보고.",,,,2008-12-11
PWNM_TABOO,D000745,임부에 대한 안전성 미확립.,,,,2012-11-21
PWNM_TABOO,D000597,임부에 대한 안전성 미확립.,,,,2015-05-20
PWNM_TABOO,D000736,임부에 대한 안전성 미확립.,,,,2015-05-20
PWNM_TABOO,D000019,최기형성이 있음.,,,,2008-12-11
PWNM_TABOO,D000458,"임부에 대한 안전성 미확립.동물실험에서 최기형성(하악골과 경구개·연구개 이상, 심장과 대혈관기형, 흉선과 갑상선형성장애) 보고.",,,,2013-07-12
PWNM_TABOO,D000738,임부에 대한 안전성 미확립.동물실험에서 면역기능변형(갑상선과 췌장의 감염 등)보고.,,,,2013-07-12
PWNM_TABOO,D000654,"임부에 대한 안전성 미확립.동물실험에서 태반이행 보고. 랫드에서 태자 체중감소, 부종, 골격변화, 기형, 조기 자궁내 사망, 출생지연 등 나타남.",,,,2015-05-20
PWNM_TABOO,D000643,"동물실험에서 최기형성(신경관이상, 무안구증, 소안구증 등)보고.사람에서 유산 보고.유전독성 및 발육독성 유발.",,,,2013-05-23
PWNM_TABOO,D000687,임부에 대한 안전성 미확립.동물실험에서 배아독성 보고.,,,,2013-07-12
PWNM_TABOO,D000258,"임부에 대한 안전성 미확립. 동물실험에서 최기형성, 배자독성, 태자독성, 배자손실, 기형(구개열), 골형성변형 보고.",,,,2013-05-23
