ingr_code,max_qty,unit,age_group
D000550,1.5,g,ADULT
D000010,2.0,g,ADULT
D000729,4.0,g,ADULT
D000506,100.0,mg,ADULT
D000554,20.0,mg,ADULT
D000152,10.0,mg,ADULT
D000671,960.0,mg,ADULT
D000220,100.0,mg,ADULT
D000356,160.0,mg,ADULT
D000977,20.0,mg,ADULT
D000852,600.0,mg,ADULT
D000690,20.0,mg,ADULT
D000543,20.0,mg,ADULT
D000302,1500.0,mg,ADULT
D000392,8.0,mg,ADULT
D000046,300.0,mg,ADULT
D000600,320.0,mg,ADULT
D000976,20.0,mg,ADULT
D000718,2000.0,mg,ADULT
D000358,40.0,mg,ADULT
D000177,120.0,mg,ADULT
D000645,4.0,g,ADULT
D000227,3.2,g,ADULT
D000707,200.0,mcg,ADULT
D001015,62.5,mcg,ADULT
D000893,24.0,mg,ADULT
D000882,16.0,mg,ADULT
D000147,1500.0,mg,ADULT
D001269,50.0,mg,ADULT
D001262,70.0,mg,ADULT
D001276,15.0,g,ADULT
D000512,8.0,mg,ADULT
D000527,20.0,mg,ADULT
D001282,50.0,mg,ADULT
D000487,120.0,mg,ADULT
D000350,10.0,mg,ADULT
D000744,25.0,mg,ADULT
D000479,50.0,g,ADULT
D001261,100.0,mg,ADULT
D000709,2.0,g,ADULT
D000061,12.0,mg,ADULT
D001270,20000.0,IU,ADULT
D001293,100.0,g,ADULT
D001292,600.0,mg,ADULT
D000018,360.0,mg,ADULT
D001291,1.0,g,ADULT
D000203,10.0,mcg,ADULT
D000051,1500.0,mg,ADULT
D001073,7.5,mg,ADULT
D001550,90.0,mg,ADULT
D001078,300.0,mg,ADULT
D001076,450.0,mg,ADULT
D001178,3200.0,mcg,ADULT
D001546,250.0,mg,ADULT
D001547,300.0,mg,ADULT
D001551,30.0,mg,ADULT
D001553,1200.0,mg,ADULT
D001544,3.0,mg,ADULT
D001545,84.0,mg,ADULT
D001549,24.0,mcg,ADULT
D001552,90.0,mg,ADULT
D001763,120.0,mg,ADULT
