ingr_code,effect_name
D000739,해열진통소염제
D000452,해열진통소염제
D000138,해열진통소염제
D000675,해열진통소염제
D000086,해열진통소염제
D000696,해열진통소염제
D000506,해열진통소염제
D000463,해열진통소염제
D000835,해열진통소염제
D000363,해열진통소염제
D000575,해열진통소염제
D000672,해열진통소염제
D000274,해열진통소염제
D000525,해열진통소염제
D000230,해열진통소염제
D000427,해열진통소염제
D000321,해열진통소염제
D000081,해열진통소염제
D000083,해열진통소염제
D000206,해열진통소염제
D000211,해열진통소염제
D000816,해열진통소염제
D000544,해열진통소염제
D000644,해열진통소염제
D000280,해열진통소염제
D000060,해열진통소염제
D000766,해열진통소염제
D000147,해열진통소염제
D000101,해열진통소염제
D000745,해열진통소염제
D000407,해열진통소염제
D000287,해열진통소염제
D000650,해열진통소염제
D000171,해열진통소염제
D000331,마약류 아편유사제
D000784,마약류 아편유사제
D000794,마약류 아편유사제
D000773,마약류 아편유사제
D000543,혈압강하작용의약품
D000681,혈압강하작용의약품
D000601,혈압강하작용의약품
D000717,혈압강하작용의약품
D000551,호흡기관용약
D000156,호흡기관용약
D000160,호흡기관용약
D000511,호흡기관용약
D000785,혈압강하작용의약품
D000370,혈압강하작용의약품
D000625,혈압강하작용의약품
D000433,혈압강하작용의약품
D000152,혈압강하작용의약품
D000404,혈압강하작용의약품
D000497,혈압강하작용의약품
D000399,혈압강하작용의약품
D000315,혈압강하작용의약품
D000616,혈압강하작용의약품
D000245,혈압강하작용의약품
D000435,혈압강하작용의약품
D000414,혈압강하작용의약품
D000377,혈압강하작용의약품
D000088,혈압강하작용의약품
D000454,혈압강하작용의약품
D000436,혈압강하작용의약품
D000176,혈압강하작용의약품
D000554,혈압강하작용의약품
D000528,혈압강하작용의약품
D000192,혈압강하작용의약품
D000398,혈압강하작용의약품
D000652,혈압강하작용의약품
D000456,혈압강하작용의약품
D000220,혈압강하작용의약품
D000046,혈압강하작용의약품
D000273,혈압강하작용의약품
D000485,혈압강하작용의약품
D000624,혈압강하작용의약품
D000006,마약류 아편유사제
D000282,정신신경용제
D000618,정신신경용제
D000106,정신신경용제
D000411,정신신경용제
D000592,정신신경용제
D000007,정신신경용제
D000271,정신신경용제
D000468,정신신경용제
D000097,마약류 아편유사제
