ingr_code,name_ko,name_en
D000762,이트라코나졸,Itraconazole
D000027,심바스타틴,Simvastatin
D000455,아토르바스타틴칼슘,Atorvastatin Calcium
D000769,케토코나졸,Ketoconazole
D000716,메토트렉세이트,Methotrexate
D000363,이부프로펜,Ibuprofen
D000373,클래리트로마이신,Clarithromycin
D000060,테녹시캄,Tenoxicam
D000086,덱시부프로펜 디.씨.,Dexibuprofen D.C.
D000274,케토롤락트로메타민염,Ketorolac Tromethamine
D000081,나부메톤,Nabumetone
D000672,케토프로펜,Ketoprofen
D000142,시프로플록사신염산염수화물,Ciprofloxacin Hydrochloride Hydrate
D000712,리토나비르,Ritonavir
D000017,부프레노르핀,Buprenorphine
D000006,모르핀황산염수화물,Morphine Sulfate Hydrate
D000760,이오비트리돌,Iobitridol
D000718,메트포르민염산염 콜로이드성이산화규소,Metformin Hydrochloride with Colloidal Anhydrous Silica
D000669,이오헥솔,Iohexol
D000364,이오메프롤,Iomeprol
D000675,클로닉신리시네이트,Clonixin Lysinate
D000452,아스피린,Aspirin
D000477,클렌부테롤염산염,Clenbuterol Hydrochloride
D000560,에피네프린타르타르산염,Epinephrine Tartrate
D000334,사이클로스포린,Cyclosporine
D000279,타크로리무스 수화물,Tacrolimus Hydrate
D000309,피록시캄,Piroxicam
D000544,살살레이트,Salsalate
D000644,설린닥,Sulindac
D000679,구연산타목시펜,Tamoxifen Citrate
D000144,아나스트로졸,Anastrozole
D000238,브롬페리돌,Bromperidol
D000541,브로모크립틴메실산염,Bromocriptine Mesylate
D000267,이오파미돌,Iopamidol
D000525,록소프로펜나트륨수화물,Loxoprofen Sodium Hydrate
D000246,실데나필시트르산염,Sildenafil Citrate
D000181,타다라필,Tadalafil
D000427,멜록시캄,Meloxicam
D000028,아데포비어디피복실,Adefovir Dipivoxil
D000665,엠트리시타빈,Emtricitabine
D000350,에제티미브,Ezetimibe
D000395,다루나비르에탄올레이트,Darunavir Ethanolate
D000698,라사길린메실산염,Rasagiline Mesylate
D000773,트라마돌염산염,Tramadol Hydrochloride
D000342,실로도신,Silodosin
D000571,이바브라딘염산염,Ivabradine Hydrochloride
D000443,보리코나졸,Voriconazole
D000527,리바록사반(미분화),Rivaroxaban Micronized
D000700,페티딘염산염,Pethidine Hydrochloride
D000487,톨밥탄분무건조분말,Tolvaptan Spray Dry Powder
D000297,돔페리돈,Domperidone
D000143,아나그렐리드염산염,Anagrelide Hydrochloride
