item_seq,ingr_code,amount,unit
200000913,D000762,,
200200173,D000027,20.0,mg
200200214,D000027,,
200200644,D000027,,
200200720,D000027,,
200201201,D000027,20.0,mg
200201416,D000027,,
200202205,D000027,20.0,mg
200300283,D000027,,
200300551,D000027,,
200300639,D000027,20.0,mg
200300670,D000027,20.0,mg
200300941,D000027,40.0,mg
200301112,D000027,,
200301131,D000027,40.0,mg
200301662,D000027,,
200308586,D000027,,
200308855,D000027,,
200400121,D000027,40.0,mg
200400682,D000027,,
200400724,D000027,,
200400828,D000027,20.0,mg
200401145,D000027,,
200401411,D000027,20.0,mg
200401687,D000027,,
200401881,D000027,,
200401924,D000027,20.0,mg
200402309,D000027,,
200402374,D000027,,
200402472,D000027,,
200402567,D000027,20.0,mg
200402604,D000027,,
200402617,D000027,40.0,mg
200402946,D000027,,
200402982,D000027,,
200403028,D000027,,
200403084,D000027,,
200403126,D000027,,
200403243,D000027,,
200403258,D000027,20.0,mg
200403459,D000027,,
200403819,D000027,20.0,mg
200404029,D000027,,
200404196,D000027,,
200404707,D000027,20.0,mg
200411015,D000027,,
200500072,D000027,20.0,mg
200501423,D000027,,
200511262,D000027,,
200511263,D000027,,
200511264,D000027,,
200512250,D000027,,
200702568,D000027,10.0,mg
200807527,D000027,20.0,mg
200807528,D000027,40.0,mg
201604540,D000027,,
201604669,D000027,,
201606670,D000027,20.0,mg
201707670,D000027,20.0,mg
201800820,D000027,,
201801491,D000027,20.0,mg
201803737,D000027,10.0,mg
201803738,D000027,20.0,mg
201803869,D000027,,
201804346,D000027,20.0,mg
201805436,D000027,,
201900015,D000027,10.0,mg
201900016,D000027,20.0,mg
201900315,D000027,20.0,mg
201900316,D000027,10.0,mg
201901722,D000027,20.0,mg
201903431,D000027,,
201903432,D000027,,
201007235,D000027,10.0,mg
201007236,D000027,20.0,mg
201007275,D000027,,
201007276,D000027,,
201007277,D000027,,
201306445,D000027,20.0,mg
201402515,D000027,,
201405436,D000027,20.0,mg
201504313,D000027,5.0,mg
201600436,D000027,,
201600853,D000027,20.0,mg
201600854,D000027,20.0,mg
201600869,D000027,20.0,mg
201600903,D000027,20.0,mg
201600904,D000027,20.0,mg
201600928,D000027,,
201600929,D000027,,
201600960,D000027,,
201600974,D000027,20.0,mg
201601004,D000027,20.0,mg
201601009,D000027,20.0,mg
201601084,D000027,,
201601110,D000027,20.0,mg
201601116,D000027,20.0,mg
201601144,D000027,,
201601234,D000027,20.0,mg
201601385,D000027,20.0,mg
201601703,D000027,,
201601714,D000027,10.0,mg
201601716,D000027,,
201601721,D000027,10.0,mg
201601723,D000027,10.0,mg
201601725,D000027,10.0,mg
201601726,D000027,10.0,mg
201601728,D000027,10.0,mg
201601729,D000027,,
201601731,D000027,10.0,mg
201601733,D000027,,
201601734,D000027,10.0,mg
201601735,D000027,10.0,mg
201601736,D000027,10.0,mg
201601743,D000027,10.0,mg
201602085,D000027,10.0,mg
201603858,D000027,,
201603895,D000027,,
200003111,D000762,100.0,mg
201907068,D000027,20.0,mg
201907577,D000027,20.0,mg
201907684,D000027,10.0,mg
